Rack ID,Sample Number,Batch Number,Number Destinations,Total Samples In Batch
025DNA0002749,1,1,2,192
025DNA0002754,1,1,2,192
025DNA0000220,1,1,2,192
025DNA0000224,1,1,2,192
025DNA0000229,1,1,2,192
025DNA0000231,1,1,2,192
025DNA0000232,1,1,2,192
025DNA0000241,1,1,2,192
025DNA0002451,2,1,2,192
025DNA0000216,2,1,2,192
025DNA0000217,2,1,2,192
025DNA0002455,3,1,2,192
025DNA0000235,3,1,2,192
025DNA0000215,4,1,2,192
025DNA0000222,4,1,2,192
025DNA0002458,5,1,2,192
025DNA0000492,68,1,2,192
025DNA0002733,91,1,2,192

025DNA0000250,1,2,2,192
025DNA0000252,1,2,2,192
025DNA0000258,1,2,2,192
025DNA0000276,1,2,2,192
025DNA0000277,1,2,2,192
025DNA0000282,1,2,2,192
025DNA0000298,1,2,2,192
025DNA0000310,1,2,2,192
025DNA0000218,2,2,2,192
025DNA0000225,2,2,2,192
025DNA0000249,2,2,2,192
025DNA0000257,3,2,2,192
025DNA0000269,3,2,2,192
025DNA0000239,4,2,2,192
025DNA0002495,5,2,2,192
025DNA0002496,9,2,2,192
025DNA0002758,65,2,2,192
025DNA0002734,89,2,2,192

025DNA0000311,1,3,2,192
025DNA0000312,1,3,2,192
025DNA0000313,1,3,2,192
025DNA0000339,1,3,2,192
025DNA0000341,1,3,2,192
025DNA0000343,1,3,2,192
025DNA0000360,1,3,2,192
025DNA0000366,1,3,2,192
025DNA0000251,2,3,2,192
025DNA0000262,2,3,2,192
025DNA0000263,2,3,2,192
025DNA0000275,2,3,2,192
025DNA0000271,3,3,2,192
025DNA0000283,3,3,2,192
025DNA0000268,4,3,2,192
025DNA0000240,5,3,2,192
025DNA0002729,74,3,2,192
025DNA0002769,87,3,2,192

025DNA0000373,1,4,2,192
025DNA0000376,1,4,2,192
025DNA0000379,1,4,2,192
025DNA0000380,1,4,2,192
025DNA0000384,1,4,2,192
025DNA0000390,1,4,2,192
025DNA0000398,1,4,2,192
025DNA0000400,1,4,2,192
025DNA0000281,2,4,2,192
025DNA0000300,2,4,2,192
025DNA0000317,2,4,2,192
025DNA0000318,2,4,2,192
025DNA0000297,3,4,2,192
025DNA0000305,3,4,2,192
025DNA0000286,4,4,2,192
025DNA0000246,5,4,2,192
025DNA0002722,76,4,2,192
025DNA0002757,85,4,2,192

025DNA0000401,1,5,2,192
025DNA0000416,1,5,2,192
025DNA0000424,1,5,2,192
025DNA0000427,1,5,2,192
025DNA0000439,1,5,2,192
025DNA0000440,1,5,2,192
025DNA0000441,1,5,2,192
025DNA0000444,1,5,2,192
025DNA0000319,2,5,2,192
025DNA0000321,2,5,2,192
025DNA0000322,2,5,2,192
025DNA0000324,2,5,2,192
025DNA0000331,3,5,2,192
025DNA0000338,3,5,2,192
025DNA0000299,4,5,2,192
025DNA0000247,5,5,2,192
025DNA0002737,76,5,2,192
025DNA0002771,85,5,2,192

025DNA0000445,1,6,2,192
025DNA0000452,1,6,2,192
025DNA0000453,1,6,2,192
025DNA0000462,1,6,2,192
025DNA0000463,1,6,2,192
025DNA0000465,1,6,2,192
025DNA0000466,1,6,2,192
025DNA0000478,1,6,2,192
025DNA0000326,2,6,2,192
025DNA0000335,2,6,2,192
025DNA0000351,2,6,2,192
025DNA0000340,3,6,2,192
025DNA0000346,3,6,2,192
025DNA0000315,4,6,2,192
025DNA0000254,5,6,2,192
025DNA0002684,18,6,2,192
025DNA0002739,61,6,2,192
025DNA0002763,84,6,2,192

025DNA0000525,1,7,2,192
025DNA0000543,1,7,2,192
025DNA0000547,1,7,2,192
025DNA0000557,1,7,2,192
025DNA0000561,1,7,2,192
025DNA0000566,1,7,2,192
025DNA0000571,1,7,2,192
025DNA0000626,1,7,2,192
025DNA0000645,1,7,2,192
025DNA0000363,2,7,2,192
025DNA0000368,2,7,2,192
025DNA0000371,2,7,2,192
025DNA0000367,3,7,2,192
025DNA0000370,3,7,2,192
025DNA0000316,4,7,2,192
025DNA0000302,5,7,2,192
025DNA0002738,79,7,2,192
025DNA0002732,83,7,2,192

025DNA0000649,1,8,2,192
025DNA0000656,1,8,2,192
025DNA0000666,1,8,2,192
025DNA0000671,1,8,2,192
025DNA0000677,1,8,2,192
025DNA0000678,1,8,2,192
025DNA0000679,1,8,2,192
025DNA0000378,2,8,2,192
025DNA0000382,2,8,2,192
025DNA0000385,2,8,2,192
025DNA0000377,3,8,2,192
025DNA0000404,3,8,2,192
025DNA0000352,4,8,2,192
025DNA0000362,4,8,2,192
025DNA0000330,5,8,2,192
025DNA0002760,18,8,2,192
025DNA0002765,60,8,2,192
025DNA0002727,82,8,2,192

025DNA0000684,1,9,2,192
025DNA0000700,1,9,2,192
025DNA0000704,1,9,2,192
025DNA0000706,1,9,2,192
025DNA0000707,1,9,2,192
025DNA0000719,1,9,2,192
025DNA0000728,1,9,2,192
025DNA0000393,2,9,2,192
025DNA0000395,2,9,2,192
025DNA0000396,2,9,2,192
025DNA0000417,3,9,2,192
025DNA0000419,3,9,2,192
025DNA0000369,4,9,2,192
025DNA0000372,4,9,2,192
025DNA0000432,5,9,2,192
025DNA0000631,20,9,2,192
025DNA0000570,59,9,2,192
025DNA0002731,81,9,2,192

025DNA0000730,1,10,2,192
025DNA0000738,1,10,2,192
025DNA0000750,1,10,2,192
025DNA0000754,1,10,2,192
025DNA0000762,1,10,2,192
025DNA0000768,1,10,2,192
025DNA0000776,1,10,2,192
025DNA0000780,1,10,2,192
025DNA0000399,2,10,2,192
025DNA0000405,2,10,2,192
025DNA0000406,2,10,2,192
025DNA0000430,3,10,2,192
025DNA0000437,3,10,2,192
025DNA0000375,4,10,2,192
025DNA0000383,4,10,2,192
025DNA0000464,5,10,2,192
025DNA0002741,79,10,2,192
025DNA0001120,80,10,2,192

025DNA0000781,1,11,1,96
025DNA0000782,1,11,1,96
025DNA0000785,1,11,1,96
025DNA0000787,1,11,1,96
025DNA0000789,1,11,1,96
025DNA0000794,1,11,1,96
025DNA0000801,1,11,1,96
025DNA0000805,1,11,1,96
025DNA0000809,1,11,1,96
025DNA0000413,2,11,1,96
025DNA0000418,2,11,1,96
025DNA0000421,2,11,1,96
025DNA0000442,3,11,1,96
025DNA0000467,3,11,1,96
025DNA0000422,4,11,1,96
025DNA0000446,4,11,1,96
025DNA0000488,5,11,1,96
025DNA0000506,5,11,1,96
025DNA0002356,57,11,1,96

025DNA0000823,1,12,1,96
025DNA0000825,1,12,1,96
025DNA0000827,1,12,1,96
025DNA0000831,1,12,1,96
025DNA0000841,1,12,1,96
025DNA0000895,1,12,1,96
025DNA0001062,1,12,1,96
025DNA0001065,1,12,1,96
025DNA0000429,2,12,1,96
025DNA0000431,2,12,1,96
025DNA0000435,2,12,1,96
025DNA0000490,3,12,1,96
025DNA0000544,3,12,1,96
025DNA0000562,3,12,1,96
025DNA0000455,4,12,1,96
025DNA0000496,4,12,1,96
025DNA0000497,4,12,1,96
025DNA0000559,5,12,1,96
025DNA0002335,56,12,1,96

025DNA0001087,1,13,1,96
025DNA0001088,1,13,1,96
025DNA0001109,1,13,1,96
025DNA0001111,1,13,1,96
025DNA0001114,1,13,1,96
025DNA0002001,1,13,1,96
025DNA0002009,1,13,1,96
025DNA0000436,2,13,1,96
025DNA0000454,2,13,1,96
025DNA0000460,2,13,1,96
025DNA0000572,3,13,1,96
025DNA0000580,3,13,1,96
025DNA0000610,3,13,1,96
025DNA0000520,4,13,1,96
025DNA0000532,4,13,1,96
025DNA0000575,5,13,1,96
025DNA0000219,6,13,1,96
025DNA0000226,7,13,1,96
025DNA0002752,48,13,1,96

025DNA0002013,1,14,1,96
025DNA0002015,1,14,1,96
025DNA0002019,1,14,1,96
025DNA0002059,1,14,1,96
025DNA0002061,1,14,1,96
025DNA0002063,1,14,1,96
025DNA0002071,1,14,1,96
025DNA0000468,2,14,1,96
025DNA0000472,2,14,1,96
025DNA0000503,2,14,1,96
025DNA0000625,3,14,1,96
025DNA0000629,3,14,1,96
025DNA0000643,3,14,1,96
025DNA0000603,4,14,1,96
025DNA0000605,4,14,1,96
025DNA0000632,5,14,1,96
025DNA0000334,6,14,1,96
025DNA0000407,11,14,1,96
025DNA0002569,44,14,1,96

025DNA0002072,1,15,1,96
025DNA0002075,1,15,1,96
025DNA0002076,1,15,1,96
025DNA0002083,1,15,1,96
025DNA0002086,1,15,1,96
025DNA0002095,1,15,1,96
025DNA0002096,1,15,1,96
025DNA0000505,2,15,1,96
025DNA0000518,2,15,1,96
025DNA0000519,2,15,1,96
025DNA0000644,3,15,1,96
025DNA0000662,3,15,1,96
025DNA0000670,3,15,1,96
025DNA0000667,4,15,1,96
025DNA0000669,4,15,1,96
025DNA0000633,5,15,1,96
025DNA0000347,6,15,1,96
025DNA0000498,11,15,1,96
025DNA0002747,44,15,1,96

025DNA0002102,1,16,1,96
025DNA0002114,1,16,1,96
025DNA0002129,1,16,1,96
025DNA0002130,1,16,1,96
025DNA0002133,1,16,1,96
025DNA0002134,1,16,1,96
025DNA0002137,1,16,1,96
025DNA0000522,2,16,1,96
025DNA0000628,2,16,1,96
025DNA0000658,2,16,1,96
025DNA0000676,3,16,1,96
025DNA0000685,3,16,1,96
025DNA0000708,3,16,1,96
025DNA0000688,4,16,1,96
025DNA0000689,4,16,1,96
025DNA0000665,5,16,1,96
025DNA0000391,6,16,1,96
025DNA0000426,13,16,1,96
025DNA0002743,42,16,1,96

025DNA0002140,1,17,1,96
025DNA0002142,1,17,1,96
025DNA0002145,1,17,1,96
025DNA0002146,1,17,1,96
025DNA0002148,1,17,1,96
025DNA0002154,1,17,1,96
025DNA0002333,1,17,1,96
025DNA0000673,2,17,1,96
025DNA0000675,2,17,1,96
025DNA0000681,2,17,1,96
025DNA0000717,3,17,1,96
025DNA0000721,3,17,1,96
025DNA0000732,3,17,1,96
025DNA0000703,4,17,1,96
025DNA0000731,4,17,1,96
025DNA0000686,5,17,1,96
025DNA0000409,6,17,1,96
025DNA0000261,14,17,1,96
025DNA0002744,41,17,1,96

025DNA0002337,1,18,1,96
025DNA0002345,1,18,1,96
025DNA0002346,1,18,1,96
025DNA0002349,1,18,1,96
025DNA0002350,1,18,1,96
025DNA0002351,1,18,1,96
025DNA0000691,2,18,1,96
025DNA0000692,2,18,1,96
025DNA0000696,2,18,1,96
025DNA0000698,2,18,1,96
025DNA0000758,3,18,1,96
025DNA0000761,3,18,1,96
025DNA0000766,3,18,1,96
025DNA0000741,4,18,1,96
025DNA0000759,4,18,1,96
025DNA0000693,5,18,1,96
025DNA0000583,6,18,1,96
025DNA0002492,19,18,1,96
025DNA0002742,35,18,1,96

025DNA0002355,1,19,1,96
025DNA0002364,1,19,1,96
025DNA0002367,1,19,1,96
025DNA0002373,1,19,1,96
025DNA0002375,1,19,1,96
025DNA0002379,1,19,1,96
025DNA0000702,2,19,1,96
025DNA0000709,2,19,1,96
025DNA0000720,2,19,1,96
025DNA0000770,3,19,1,96
025DNA0000783,3,19,1,96
025DNA0000786,3,19,1,96
025DNA0000760,4,19,1,96
025DNA0000775,4,19,1,96
025DNA0000697,5,19,1,96
025DNA0000701,5,19,1,96
025DNA0000722,6,19,1,96
025DNA0001086,16,19,1,96
025DNA0002770,35,19,1,96

025DNA0002402,1,20,1,96
025DNA0002404,1,20,1,96
025DNA0002405,1,20,1,96
025DNA0002411,1,20,1,96
025DNA0002415,1,20,1,96
025DNA0002417,1,20,1,96
025DNA0002420,1,20,1,96
025DNA0000724,2,20,1,96
025DNA0000727,2,20,1,96
025DNA0000733,2,20,1,96
025DNA0000806,3,20,1,96
025DNA0000807,3,20,1,96
025DNA0000821,3,20,1,96
025DNA0000784,4,20,1,96
025DNA0000804,4,20,1,96
025DNA0000734,5,20,1,96
025DNA0000723,6,20,1,96
025DNA0002348,23,20,1,96
025DNA0002571,32,20,1,96

025DNA0002422,1,21,1,96
025DNA0002425,1,21,1,96
025DNA0002433,1,21,1,96
025DNA0002440,1,21,1,96
025DNA0002467,1,21,1,96
025DNA0000737,2,21,1,96
025DNA0000739,2,21,1,96
025DNA0000743,2,21,1,96
025DNA0000822,3,21,1,96
025DNA0000829,3,21,1,96
025DNA0000833,3,21,1,96
025DNA0000811,4,21,1,96
025DNA0000815,4,21,1,96
025DNA0000832,4,21,1,96
025DNA0000779,5,21,1,96
025DNA0000726,6,21,1,96
025DNA0000307,7,21,1,96
025DNA0002748,16,21,1,96
025DNA0002745,30,21,1,96

025DNA0002471,1,22,1,96
025DNA0002472,1,22,1,96
025DNA0002474,1,22,1,96
025DNA0002478,1,22,1,96
025DNA0002484,1,22,1,96
025DNA0000744,2,22,1,96
025DNA0000746,2,22,1,96
025DNA0000748,2,22,1,96
025DNA0000749,2,22,1,96
025DNA0001084,3,22,1,96
025DNA0002002,3,22,1,96
025DNA0002006,3,22,1,96
025DNA0000837,4,22,1,96
025DNA0000842,4,22,1,96
025DNA0000793,5,22,1,96
