Rack ID,Sample Number,Batch Number,Number Sources,Number Destinations,Total Samples In Batch
RACKID1,95,1,10,10,950
RACKID2,95,1,10,10,950
RACKID3,95,1,10,10,950
RACKID4,95,1,10,10,950
RACKID5,95,1,10,10,950
RACKID6,95,1,10,10,950
RACKID7,95,1,10,10,950
RACKID8,95,1,10,10,950
RACKID9,95,1,10,10,950
RACKID10,95,1,10,10,950

RACKID11,95,2,10,10,950
RACKID12,95,2,10,10,950
RACKID13,95,2,10,10,950
RACKID14,95,2,10,10,950
RACKID15,95,2,10,10,950
RACKID16,95,2,10,10,950
RACKID17,95,2,10,10,950
RACKID18,95,2,10,10,950
RACKID19,95,2,10,10,950
RACKID20,95,2,10,10,950

RACKID21,95,3,10,10,950
RACKID22,95,3,10,10,950
RACKID23,95,3,10,10,950
RACKID24,95,3,10,10,950
RACKID25,95,3,10,10,950
RACKID26,95,3,10,10,950
RACKID27,95,3,10,10,950
RACKID28,95,3,10,10,950
RACKID29,95,3,10,10,950
RACKID30,95,3,10,10,950

RACKID31,95,4,10,10,950
RACKID32,95,4,10,10,950
RACKID33,95,4,10,10,950
RACKID34,95,4,10,10,950
RACKID35,95,4,10,10,950
RACKID36,95,4,10,10,950
RACKID37,95,4,10,10,950
RACKID38,95,4,10,10,950
RACKID39,95,4,10,10,950
RACKID40,95,4,10,10,950

RACKID41,95,5,10,10,950
RACKID42,95,5,10,10,950
RACKID43,95,5,10,10,950
RACKID44,95,5,10,10,950
RACKID45,95,5,10,10,950
RACKID46,95,5,10,10,950
RACKID47,95,5,10,10,950
RACKID48,95,5,10,10,950
RACKID49,95,5,10,10,950
RACKID50,95,5,10,10,950

RACKID51,95,6,10,10,950
RACKID52,95,6,10,10,950
RACKID53,95,6,10,10,950
RACKID54,95,6,10,10,950
RACKID55,95,6,10,10,950
RACKID56,95,6,10,10,950
RACKID57,95,6,10,10,950
RACKID58,95,6,10,10,950
RACKID59,95,6,10,10,950
RACKID60,95,6,10,10,950

RACKID61,95,7,10,10,950
RACKID62,95,7,10,10,950
RACKID63,95,7,10,10,950
RACKID64,95,7,10,10,950
RACKID65,95,7,10,10,950
RACKID66,95,7,10,10,950
RACKID67,95,7,10,10,950
RACKID68,95,7,10,10,950
RACKID69,95,7,10,10,950
RACKID70,95,7,10,10,950

RACKID71,95,8,10,10,950
RACKID72,95,8,10,10,950
RACKID73,95,8,10,10,950
RACKID74,95,8,10,10,950
RACKID75,95,8,10,10,950
RACKID76,95,8,10,10,950
RACKID77,95,8,10,10,950
RACKID78,95,8,10,10,950
RACKID79,95,8,10,10,950
RACKID80,95,8,10,10,950

RACKID81,95,9,10,10,950
RACKID82,95,9,10,10,950
RACKID83,95,9,10,10,950
RACKID84,95,9,10,10,950
RACKID85,95,9,10,10,950
RACKID86,95,9,10,10,950
RACKID87,95,9,10,10,950
RACKID88,95,9,10,10,950
RACKID89,95,9,10,10,950
RACKID90,95,9,10,10,950

RACKID91,95,10,10,10,950
RACKID92,95,10,10,10,950
RACKID93,95,10,10,10,950
RACKID94,95,10,10,10,950
RACKID95,95,10,10,10,950
RACKID96,95,10,10,10,950
RACKID97,95,10,10,10,950
RACKID98,95,10,10,10,950
RACKID99,95,10,10,10,950
RACKID100,95,10,10,10,950

RACKID101,95,11,10,10,950
RACKID102,95,11,10,10,950
RACKID103,95,11,10,10,950
RACKID104,95,11,10,10,950
RACKID105,95,11,10,10,950
RACKID106,95,11,10,10,950
RACKID107,95,11,10,10,950
RACKID108,95,11,10,10,950
RACKID109,95,11,10,10,950
RACKID110,95,11,10,10,950

RACKID111,95,12,10,10,950
RACKID112,95,12,10,10,950
RACKID113,95,12,10,10,950
RACKID114,95,12,10,10,950
RACKID115,95,12,10,10,950
RACKID116,95,12,10,10,950
RACKID117,95,12,10,10,950
RACKID118,95,12,10,10,950
RACKID119,95,12,10,10,950
RACKID120,95,12,10,10,950

RACKID121,95,13,10,10,950
RACKID122,95,13,10,10,950
RACKID123,95,13,10,10,950
RACKID124,95,13,10,10,950
RACKID125,95,13,10,10,950
RACKID126,95,13,10,10,950
RACKID127,95,13,10,10,950
RACKID128,95,13,10,10,950
RACKID129,95,13,10,10,950
RACKID130,95,13,10,10,950

RACKID131,95,14,10,10,950
RACKID132,95,14,10,10,950
RACKID133,95,14,10,10,950
RACKID134,95,14,10,10,950
RACKID135,95,14,10,10,950
RACKID136,95,14,10,10,950
RACKID137,95,14,10,10,950
RACKID138,95,14,10,10,950
RACKID139,95,14,10,10,950
RACKID140,95,14,10,10,950

RACKID141,95,15,10,10,950
RACKID142,95,15,10,10,950
RACKID143,95,15,10,10,950
RACKID144,95,15,10,10,950
RACKID145,95,15,10,10,950
RACKID146,95,15,10,10,950
RACKID147,95,15,10,10,950
RACKID148,95,15,10,10,950
RACKID149,95,15,10,10,950
RACKID150,95,15,10,10,950

RACKID151,95,16,10,10,950
RACKID152,95,16,10,10,950
RACKID153,95,16,10,10,950
RACKID154,95,16,10,10,950
RACKID155,95,16,10,10,950
RACKID156,95,16,10,10,950
RACKID157,95,16,10,10,950
RACKID158,95,16,10,10,950
RACKID159,95,16,10,10,950
RACKID160,95,16,10,10,950

RACKID161,95,17,10,10,950
RACKID162,95,17,10,10,950
RACKID163,95,17,10,10,950
RACKID164,95,17,10,10,950
RACKID165,95,17,10,10,950
RACKID166,95,17,10,10,950
RACKID167,95,17,10,10,950
RACKID168,95,17,10,10,950
RACKID169,95,17,10,10,950
RACKID170,95,17,10,10,950

RACKID171,95,18,10,10,950
RACKID172,95,18,10,10,950
RACKID173,95,18,10,10,950
RACKID174,95,18,10,10,950
RACKID175,95,18,10,10,950
RACKID176,95,18,10,10,950
RACKID177,95,18,10,10,950
RACKID178,95,18,10,10,950
RACKID179,95,18,10,10,950
RACKID180,95,18,10,10,950

RACKID181,95,19,10,10,950
RACKID182,95,19,10,10,950
RACKID183,95,19,10,10,950
RACKID184,95,19,10,10,950
RACKID185,95,19,10,10,950
RACKID186,95,19,10,10,950
RACKID187,95,19,10,10,950
RACKID188,95,19,10,10,950
RACKID189,95,19,10,10,950
RACKID190,95,19,10,10,950

RACKID191,95,20,10,10,950
RACKID192,95,20,10,10,950
RACKID193,95,20,10,10,950
RACKID194,95,20,10,10,950
RACKID195,95,20,10,10,950
RACKID196,95,20,10,10,950
RACKID197,95,20,10,10,950
RACKID198,95,20,10,10,950
RACKID199,95,20,10,10,950
RACKID200,95,20,10,10,950

RACKID201,95,21,10,10,950
RACKID202,95,21,10,10,950
RACKID203,95,21,10,10,950
RACKID204,95,21,10,10,950
RACKID205,95,21,10,10,950
RACKID206,95,21,10,10,950
RACKID207,95,21,10,10,950
RACKID208,95,21,10,10,950
RACKID209,95,21,10,10,950
RACKID210,95,21,10,10,950

RACKID211,95,22,10,10,950
RACKID212,95,22,10,10,950
RACKID213,95,22,10,10,950
RACKID214,95,22,10,10,950
RACKID215,95,22,10,10,950
RACKID216,95,22,10,10,950
RACKID217,95,22,10,10,950
RACKID218,95,22,10,10,950
RACKID219,95,22,10,10,950
RACKID220,95,22,10,10,950

RACKID221,95,23,10,10,950
RACKID222,95,23,10,10,950
RACKID223,95,23,10,10,950
RACKID224,95,23,10,10,950
RACKID225,95,23,10,10,950
RACKID226,95,23,10,10,950
RACKID227,95,23,10,10,950
RACKID228,95,23,10,10,950
RACKID229,95,23,10,10,950
RACKID230,95,23,10,10,950

RACKID231,95,24,10,10,950
RACKID232,95,24,10,10,950
RACKID233,95,24,10,10,950
RACKID234,95,24,10,10,950
RACKID235,95,24,10,10,950
RACKID236,95,24,10,10,950
RACKID237,95,24,10,10,950
RACKID238,95,24,10,10,950
RACKID239,95,24,10,10,950
RACKID240,95,24,10,10,950

RACKID241,95,25,10,10,950
RACKID242,95,25,10,10,950
RACKID243,95,25,10,10,950
