Rack ID,Sample Number,Batch Number,Number Sources,Number Destinations,Total Samples In Batch
025DNA0002953,1,1,19,1,96
025DNA0002964,1,1,19,1,96
025DNA0000682,1,1,19,1,96
025DNA0000699,1,1,19,1,96
025DNA0002960,1,1,19,1,96
025DNA0000760,1,1,19,1,96
025DNA0000467,1,1,19,1,96
025DNA0000751,1,1,19,1,96
025DNA0000755,1,1,19,1,96
025DNA0002968,1,1,19,1,96
025DNA0000715,1,1,19,1,96
025DNA0002951,1,1,19,1,96
025DNA0002949,2,1,19,1,96
025DNA0000683,2,1,19,1,96
025DNA0002955,2,1,19,1,96
025DNA0000696,3,1,19,1,96
025DNA0000717,4,1,19,1,96
025DNA0002832,5,1,19,1,96
025DNA0000681,66,1,19,1,96

025DNA0000795,1,2,19,1,96
025DNA0000631,1,2,19,1,96
025DNA0000625,1,2,19,1,96
025DNA0000720,1,2,19,1,96
025DNA0000784,1,2,19,1,96
025DNA0002979,1,2,19,1,96
025DNA0000786,1,2,19,1,96
025DNA0000740,1,2,19,1,96
025DNA0002818,1,2,19,1,96
025DNA0002965,1,2,19,1,96
025DNA0002967,1,2,19,1,96
025DNA0000344,1,2,19,1,96
025DNA0000697,2,2,19,1,96
025DNA0000722,2,2,19,1,96
025DNA0000747,2,2,19,1,96
025DNA0000708,3,2,19,1,96
025DNA0000746,4,2,19,1,96
025DNA0002950,6,2,19,1,96
025DNA0000818,65,2,19,1,96

025DNA0000752,1,3,19,1,96
025DNA0000709,1,3,19,1,96
025DNA0000716,1,3,19,1,96
025DNA0002961,1,3,19,1,96
025DNA0002958,1,3,19,1,96
025DNA0000779,1,3,19,1,96
025DNA0002971,1,3,19,1,96
025DNA0000837,1,3,19,1,96
025DNA0000731,1,3,19,1,96
025DNA0000468,1,3,19,1,96
025DNA0002633,1,3,19,1,96
025DNA0002573,1,3,19,1,96
025DNA0000737,2,3,19,1,96
025DNA0000544,2,3,19,1,96
025DNA0002802,2,3,19,1,96
025DNA0002828,3,3,19,1,96
025DNA0002827,4,3,19,1,96
025DNA0002829,7,3,19,1,96
025DNA0000797,64,3,19,1,96

025DNA0000480,1,4,19,1,96
025DNA0002674,1,4,19,1,96
025DNA0002808,1,4,19,1,96
025DNA0002714,1,4,19,1,96
025DNA0000226,1,4,19,1,96
025DNA0002917,1,4,19,1,96
025DNA0000402,1,4,19,1,96
025DNA0000417,1,4,19,1,96
025DNA0002803,1,4,19,1,96
025DNA0000412,1,4,19,1,96
025DNA0000404,1,4,19,1,96
025DNA0000368,1,4,19,1,96
025DNA0000743,2,4,19,1,96
025DNA0002962,2,4,19,1,96
025DNA0000735,2,4,19,1,96
025DNA0000490,3,4,19,1,96
025DNA0002835,4,4,19,1,96
025DNA0000302,10,4,19,1,96
025DNA0000810,61,4,19,1,96

025DNA0000447,1,5,19,1,96
025DNA0000419,1,5,19,1,96
025DNA0002343,1,5,19,1,96
025DNA0002798,1,5,19,1,96
025DNA0002801,1,5,19,1,96
025DNA0000446,1,5,19,1,96
025DNA0000436,1,5,19,1,96
025DNA0000491,1,5,19,1,96
025DNA0002838,1,5,19,1,96
025DNA0000748,2,5,19,1,96
025DNA0000736,2,5,19,1,96
025DNA0000741,2,5,19,1,96
025DNA0003140,2,5,19,1,96
025DNA0000788,3,5,19,1,96
025DNA0002812,3,5,19,1,96
025DNA0002786,4,5,19,1,96
025DNA0002824,5,5,19,1,96
025DNA0002770,12,5,19,1,96
025DNA0000670,52,5,19,1,96

025DNA0002348,1,6,19,1,96
025DNA0003038,1,6,19,1,96
025DNA0002148,1,6,19,1,96
025DNA0002149,1,6,19,1,96
025DNA0003152,1,6,19,1,96
025DNA0002145,1,6,19,1,96
025DNA0002996,1,6,19,1,96
025DNA0003017,1,6,19,1,96
025DNA0002938,1,6,19,1,96
025DNA0000816,2,6,19,1,96
025DNA0000775,2,6,19,1,96
025DNA0000941,2,6,19,1,96
025DNA0002339,2,6,19,1,96
025DNA0002839,3,6,19,1,96
025DNA0002830,3,6,19,1,96
025DNA0003165,4,6,19,1,96
025DNA0000713,5,6,19,1,96
025DNA0000528,18,6,19,1,96
025DNA0001118,46,6,19,1,96

025DNA0002921,1,7,19,1,96
025DNA0002103,1,7,19,1,96
025DNA0003008,1,7,19,1,96
025DNA0003166,1,7,19,1,96
025DNA0002418,1,7,19,1,96
025DNA0002329,1,7,19,1,96
025DNA0002085,1,7,19,1,96
025DNA0002134,1,7,19,1,96
025DNA0002581,1,7,19,1,96
025DNA0002702,1,7,19,1,96
025DNA0000353,2,7,19,1,96
025DNA0000305,2,7,19,1,96
025DNA0002700,2,7,19,1,96
025DNA0000844,3,7,19,1,96
025DNA0000443,3,7,19,1,96
025DNA0002704,4,7,19,1,96
025DNA0000437,5,7,19,1,96
025DNA0002823,23,7,19,1,96
025DNA0000675,42,7,19,1,96

025DNA0002637,1,8,19,1,96
025DNA0002135,1,8,19,1,96
025DNA0003125,1,8,19,1,96
025DNA0003040,1,8,19,1,96
025DNA0002358,1,8,19,1,96
025DNA0003157,1,8,19,1,96
025DNA0000593,1,8,19,1,96
025DNA0002087,1,8,19,1,96
025DNA0002635,1,8,19,1,96
025DNA0000338,2,8,19,1,96
025DNA0000418,2,8,19,1,96
025DNA0003031,2,8,19,1,96
025DNA0002842,3,8,19,1,96
025DNA0000377,3,8,19,1,96
025DNA0002685,4,8,19,1,96
025DNA0000644,5,8,19,1,96
025DNA0002807,6,8,19,1,96
025DNA0003161,24,8,19,1,96
025DNA0002456,36,8,19,1,96

025DNA0003139,1,9,19,1,96
025DNA0003155,1,9,19,1,96
025DNA0002409,1,9,19,1,96
025DNA0003164,1,9,19,1,96
025DNA0002717,1,9,19,1,96
025DNA0002017,1,9,19,1,96
025DNA0000318,1,9,19,1,96
025DNA0002473,1,9,19,1,96
025DNA0002377,2,9,19,1,96
025DNA0002928,2,9,19,1,96
025DNA0002643,2,9,19,1,96
025DNA0003135,3,9,19,1,96
025DNA0003043,3,9,19,1,96
025DNA0001086,3,9,19,1,96
025DNA0003000,4,9,19,1,96
025DNA0002795,5,9,19,1,96
025DNA0002843,6,9,19,1,96
025DNA0003029,29,9,19,1,96
025DNA0002490,29,9,19,1,96

025DNA0002101,1,10,19,1,96
025DNA0002399,1,10,19,1,96
025DNA0002568,1,10,19,1,96
025DNA0003115,1,10,19,1,96
025DNA0002093,1,10,19,1,96
025DNA0003015,1,10,19,1,96
025DNA0002080,1,10,19,1,96
025DNA0002673,1,10,19,1,96
025DNA0002886,1,10,19,1,96
025DNA0002147,2,10,19,1,96
025DNA0002715,2,10,19,1,96
025DNA0002681,2,10,19,1,96
025DNA0002365,3,10,19,1,96
025DNA0002558,4,10,19,1,96
025DNA0002848,5,10,19,1,96
025DNA0002356,6,10,19,1,96
025DNA0002442,8,10,19,1,96
025DNA0002650,27,10,19,1,96
025DNA0002825,28,10,19,1,96

025DNA0000488,1,11,19,1,96
025DNA0000389,1,11,19,1,96
025DNA0002682,1,11,19,1,96
025DNA0000610,1,11,19,1,96
025DNA0002796,1,11,19,1,96
025DNA0003002,1,11,19,1,96
025DNA0002576,1,11,19,1,96
025DNA0000642,1,11,19,1,96
025DNA0002408,2,11,19,1,96
025DNA0002805,2,11,19,1,96
025DNA0002672,2,11,19,1,96
025DNA0003167,3,11,19,1,96
025DNA0002587,3,11,19,1,96
025DNA0000674,4,11,19,1,96
025DNA0001119,5,11,19,1,96
025DNA0000660,6,11,19,1,96
025DNA0002817,15,11,19,1,96
025DNA0002749,21,11,19,1,96
025DNA0002536,25,11,19,1,96

025DNA0002947,1,12,19,1,88
025DNA0000576,1,12,19,1,88
025DNA0002559,1,12,19,1,88
025DNA0002006,1,12,19,1,88
025DNA0002563,1,12,19,1,88
025DNA0000643,1,12,19,1,88
025DNA0000630,1,12,19,1,88
025DNA0002561,1,12,19,1,88
025DNA0002678,2,12,19,1,88
025DNA0003149,2,12,19,1,88
025DNA0002557,2,12,19,1,88
025DNA0003045,3,12,19,1,88
025DNA0002691,3,12,19,1,88
025DNA0000665,4,12,19,1,88
025DNA0002627,5,12,19,1,88
025DNA0003124,6,12,19,1,88
025DNA0002531,16,12,19,1,88
025DNA0002540,17,12,19,1,88
025DNA0002527,20,12,19,1,88

