Rack ID,Sample Number,Batch Number,Number Sources,Number Destinations,Total Samples In Batch
RACK3I0000021,40,1,13,7,609
RACK3I0000037,40,1,13,7,609
RACK3I0000041,40,1,13,7,609
RACK3I0000049,40,1,13,7,609
RACK3I0000087,40,1,13,7,609
RACK3I0000096,40,1,13,7,609
RACK3I0000156,40,1,13,7,609
RACK3I0000157,40,1,13,7,609
RACK3I0000163,40,1,13,7,609
RACK3I0000252,40,1,13,7,609
RACK3I0000016,69,1,13,7,609
RACK3I0000023,70,1,13,7,609
RACK3I0000024,70,1,13,7,609

RACK3I0000279,40,2,13,7,615
RACK3I0000284,40,2,13,7,615
RACK3I0000290,40,2,13,7,615
RACK3I0000308,40,2,13,7,615
RACK3I0000040,41,2,13,7,615
RACK3I0000044,41,2,13,7,615
RACK3I0000048,41,2,13,7,615
RACK3I0000064,41,2,13,7,615
RACK3I0000155,41,2,13,7,615
RACK3I0000182,41,2,13,7,615
RACK3I0000060,69,2,13,7,615
RACK3I0000025,70,2,13,7,615
RACK3I0000027,70,2,13,7,615

RACK3I0000220,41,3,13,7,623
RACK3I0000225,41,3,13,7,623
RACK3I0000240,41,3,13,7,623
RACK3I0000314,41,3,13,7,623
RACK3I0000365,41,3,13,7,623
RACK3I0000373,41,3,13,7,623
RACK3I0000001,42,3,13,7,623
RACK3I0000013,42,3,13,7,623
RACK3I0000019,42,3,13,7,623
RACK3I0000022,42,3,13,7,623
RACK3I0000072,69,3,13,7,623
RACK3I0000090,70,3,13,7,623
RACK3I0000104,70,3,13,7,623

RACK3I0000042,42,4,13,7,629
RACK3I0000107,42,4,13,7,629
RACK3I0000148,42,4,13,7,629
RACK3I0000203,42,4,13,7,629
RACK3I0000209,42,4,13,7,629
RACK3I0000223,42,4,13,7,629
RACK3I0000289,42,4,13,7,629
RACK3I0000311,42,4,13,7,629
RACK3I0000315,42,4,13,7,629
RACK3I0000319,42,4,13,7,629
RACK3I0000145,69,4,13,7,629
RACK3I0000139,70,4,13,7,629
RACK3I0000158,70,4,13,7,629

RACK3I0000358,42,5,13,7,639
RACK3I0000366,42,5,13,7,639
RACK3I0000059,43,5,13,7,639
RACK3I0000202,43,5,13,7,639
RACK3I0000208,43,5,13,7,639
RACK3I0000331,43,5,13,7,639
RACK3I0000343,43,5,13,7,639
RACK3I0000350,43,5,13,7,639
RACK3I0000031,44,5,13,7,639
RACK3I0000043,44,5,13,7,639
RACK3I0000151,69,5,13,7,639
RACK3I0000161,70,5,13,7,639
RACK3I0000204,70,5,13,7,639

RACK3I0000053,44,6,13,7,649
RACK3I0000058,44,6,13,7,649
RACK3I0000081,44,6,13,7,649
RACK3I0000083,44,6,13,7,649
RACK3I0000098,44,6,13,7,649
RACK3I0000123,44,6,13,7,649
RACK3I0000125,44,6,13,7,649
RACK3I0000140,44,6,13,7,649
RACK3I0000150,44,6,13,7,649
RACK3I0000236,44,6,13,7,649
RACK3I0000152,69,6,13,7,649
RACK3I0000210,70,6,13,7,649
RACK3I0000228,70,6,13,7,649

RACK3I0000322,44,7,13,7,658
RACK3I0000026,45,7,13,7,658
RACK3I0000035,45,7,13,7,658
RACK3I0000074,45,7,13,7,658
RACK3I0000091,45,7,13,7,658
RACK3I0000137,45,7,13,7,658
RACK3I0000159,45,7,13,7,658
RACK3I0000205,45,7,13,7,658
RACK3I0000243,45,7,13,7,658
RACK3I0000247,45,7,13,7,658
RACK3I0000178,69,7,13,7,658
RACK3I0000238,70,7,13,7,658
RACK3I0000269,70,7,13,7,658

RACK3I0000337,45,8,13,7,668
RACK3I0000018,46,8,13,7,668
RACK3I0000051,46,8,13,7,668
RACK3I0000057,46,8,13,7,668
RACK3I0000077,46,8,13,7,668
RACK3I0000112,46,8,13,7,668
RACK3I0000133,46,8,13,7,668
RACK3I0000169,46,8,13,7,668
RACK3I0000188,46,8,13,7,668
RACK3I0000201,46,8,13,7,668
RACK3I0000197,69,8,13,7,668
RACK3I0000302,70,8,13,7,668
RACK3I0000364,70,8,13,7,668

RACK3I0000218,46,9,13,7,672
RACK3I0000255,46,9,13,7,672
RACK3I0000363,46,9,13,7,672
RACK3I0000377,46,9,13,7,672
RACK3I0000066,47,9,13,7,672
RACK3I0000101,47,9,13,7,672
RACK3I0000183,47,9,13,7,672
RACK3I0000273,47,9,13,7,672
RACK3I0000292,47,9,13,7,672
RACK3I0000294,47,9,13,7,672
RACK3I0000004,67,9,13,7,672
RACK3I0000270,69,9,13,7,672
RACK3I0000393,70,9,13,7,672

RACK3I0000029,48,10,13,7,672
RACK3I0000046,48,10,13,7,672
RACK3I0000131,48,10,13,7,672
RACK3I0000132,48,10,13,7,672
RACK3I0000149,48,10,13,7,672
RACK3I0000206,48,10,13,7,672
RACK3I0000300,48,10,13,7,672
RACK3I0000307,48,10,13,7,672
RACK3I0000313,48,10,13,7,672
RACK3I0000328,48,10,13,7,672
RACK3I0000010,54,10,13,7,672
RACK3I0000286,69,10,13,7,672
RACK3I0000305,69,10,13,7,672

RACK3I0000352,47,11,13,7,672
RACK3I0000386,48,11,13,7,672
RACK3I0000388,48,11,13,7,672
RACK3I0000000,49,11,13,7,672
RACK3I0000028,49,11,13,7,672
RACK3I0000078,49,11,13,7,672
RACK3I0000085,49,11,13,7,672
RACK3I0000105,49,11,13,7,672
RACK3I0000111,49,11,13,7,672
RACK3I0000113,49,11,13,7,672
RACK3I0000118,49,11,13,7,672
RACK3I0000068,68,11,13,7,672
RACK3I0000334,69,11,13,7,672

RACK3I0000389,46,12,13,7,672
RACK3I0000162,49,12,13,7,672
RACK3I0000181,49,12,13,7,672
RACK3I0000189,49,12,13,7,672
RACK3I0000196,49,12,13,7,672
RACK3I0000221,49,12,13,7,672
RACK3I0000246,49,12,13,7,672
RACK3I0000254,49,12,13,7,672
RACK3I0000283,49,12,13,7,672
RACK3I0000288,49,12,13,7,672
RACK3I0000329,49,12,13,7,672
RACK3I0000047,67,12,13,7,672
RACK3I0000380,69,12,13,7,672

RACK3I0000390,42,13,13,7,672
RACK3I0000379,43,13,13,7,672
RACK3I0000355,44,13,13,7,672
RACK3I0000394,45,13,13,7,672
RACK3I0000344,49,13,13,7,672
RACK3I0000372,49,13,13,7,672
RACK3I0000396,49,13,13,7,672
RACK3I0000015,50,13,13,7,672
RACK3I0000062,50,13,13,7,672
RACK3I0000050,53,13,13,7,672
RACK3I0000017,64,13,13,7,672
RACK3I0000030,65,13,13,7,672
RACK3I0000392,69,13,13,7,672

RACK3I0000357,40,14,13,7,672
RACK3I0000375,41,14,13,7,672
RACK3I0000134,50,14,13,7,672
RACK3I0000179,50,14,13,7,672
RACK3I0000184,50,14,13,7,672
RACK3I0000260,50,14,13,7,672
RACK3I0000263,50,14,13,7,672
RACK3I0000268,50,14,13,7,672
RACK3I0000003,51,14,13,7,672
RACK3I0000070,53,14,13,7,672
RACK3I0000007,55,14,13,7,672
RACK3I0000020,64,14,13,7,672
RACK3I0000093,68,14,13,7,672

RACK3I0000278,50,15,12,7,658
RACK3I0000291,50,15,12,7,658
RACK3I0000353,50,15,12,7,658
RACK3I0000385,50,15,12,7,658
RACK3I0000006,51,15,12,7,658
RACK3I0000009,51,15,12,7,658
RACK3I0000011,51,15,12,7,658
RACK3I0000014,51,15,12,7,658
RACK3I0000067,51,15,12,7,658
RACK3I0000071,67,15,12,7,658
RACK3I0000106,68,15,12,7,658
RACK3I0000116,68,15,12,7,658

RACK3I0000080,51,16,12,7,662
RACK3I0000122,51,16,12,7,662
RACK3I0000138,51,16,12,7,662
RACK3I0000153,51,16,12,7,662
RACK3I0000154,51,16,12,7,662
RACK3I0000171,51,16,12,7,662
RACK3I0000195,51,16,12,7,662
RACK3I0000198,51,16,12,7,662
RACK3I0000224,51,16,12,7,662
RACK3I0000160,67,16,12,7,662
RACK3I0000219,68,16,12,7,662
RACK3I0000230,68,16,12,7,662

RACK3I0000276,51,17,12,8,695
RACK3I0000321,51,17,12,8,695
RACK3I0000089,52,17,12,8,695
RACK3I0000094,52,17,12,8,695
RACK3I0000108,52,17,12,8,695
RACK3I0000097,53,17,12,8,695
RACK3I0000005,56,17,12,8,695
RACK3I0000012,61,17,12,8,695
RACK3I0000032,64,17,12,8,695
RACK3I0000164,67,17,12,8,695
RACK3I0000258,68,17,12,8,695
RACK3I0000277,68,17,12,8,695

RACK3I0000135,52,18,12,8,700
RACK3I0000303,52,18,12,8,700
RACK3I0000102,53,18,12,8,700
RACK3I0000120,53,18,12,8,700
RACK3I0000128,53,18,12,8,700
RACK3I0000166,53,18,12,8,700
RACK3I0000008,56,18,12,8,700
RACK3I0000036,61,18,12,8,700
RACK3I0000034,64,18,12,8,700
